group,cohort,sym,ret,excess
Breakouts,2026-06,ARW,-0.04469151832232232,-0.07542233379696806
Breakouts,2026-06,ST,-0.2166407537317947,-0.24737156920644043
Top Picks,2026-06,PDFS,-0.17033748281607597,-0.2220114819206651
Breakouts,2026-06,PDFS,-0.15288357632369443,-0.18361439179834016
Breakouts,2026-06,PCT,-0.5935483760703627,-0.6203990982027986
Breakouts,2026-06,ABCL,0.9874411420497171,0.9605904199172812
Breakouts,2026-06,TSM,0.00552778919246788,-0.02132293293996801
Breakouts,2026-06,RMBS,-0.42745795341037307,-0.45430867554280896
Top Picks,2026-06,BAND,-0.247783882702598,-0.30183910567648353
Breakouts,2026-06,BAND,-0.247783882702598,-0.30183910567648353
Breakouts,2026-06,CRS,-0.16652407373199507,-0.2205792967058806
Breakouts,2026-06,TFII,-0.2106583752377399,-0.26471359821162543
Breakouts,2026-06,HUM,0.06599573767001043,0.014321738565421294
Breakouts,2026-06,YPF,-0.006723955999170639,-0.05839795510375978
Breakouts,2026-06,KNX,-0.16848695487888754,-0.22325716555454334
Breakouts,2026-06,LSTR,-0.2360672392168447,-0.2908374498925005
Breakouts,2026-06,JBHT,-0.1762654026761199,-0.2310356133517757
Breakouts,2026-06,MOG-A,-0.032581487083430005,-0.10424714223876785
Breakouts,2026-06,CNC,-0.005356573213000426,-0.07702222836833827
Breakouts,2026-06,BWLP,0.22074422320748677,0.17265736473458926
Breakouts,2026-06,TKR,-0.1598604588702286,-0.2079473173431261
Breakouts,2026-06,CORT,0.37209018346986067,0.32400332499696316
Breakouts,2026-06,TNGX,-0.27828055790994544,-0.32636741638284295
Breakouts,2026-06,ESTA,-0.19558248901275666,-0.22550763774128946
Breakouts,2026-06,MRCY,-0.26119208746301537,-0.29111723619154817
Top Picks,2026-09,MRX,0.000793093950873569,-0.0021179779273965416
Breakouts,2026-06,MRX,0.21402121410550534,0.18409606537697254
Breakouts,2026-06,PEB,-0.014084855729333268,-0.04401000445786607
Breakouts,2026-06,BBAR,-0.2995636682843813,-0.3356656169911777
Breakouts,2026-06,AIP,-0.4186718226881774,-0.45477377139497377
Breakouts,2026-06,M,-0.1026342662330435,-0.1387362149398399
Breakouts,2026-06,BMA,-0.21820464541290097,-0.25430659411969736
